GFA_sqm,Building_Type,Num_Floors,Year_Built,Structure_Type,Actual_Scope3_tCO2e,Intensity_kgCO2e_m2,City,Country,Latitude,Longitude
16795,Education,29,1994,Timber,5763.706672722776,343.17991501773,Madrid,Spain,40.33120372808848,-3.7688010959327594
22962,Education,24,2015,Mixed,11241.249677947164,489.5588223128283,Amsterdam,Netherlands,52.305641157902706,4.944399754453365
3433,Residential,21,2012,Mixed,1596.8957822960206,465.1604376044336,Dublin,Ireland,53.3291229140198,-6.177629421055524
19431,Residential,28,1995,Timber,6163.289335252559,317.1884789898903,Berlin,Germany,52.476492398253434,13.594969265742035
12394,Office,37,1986,Steel,9019.403696149846,727.7233900395229,Paris,France,48.989777107450664,2.489689609922368
44001,Residential,9,2005,Steel,24771.523047322826,562.9763652490358,Stockholm,Sweden,59.321999331556526,18.149958473520847
15541,Education,17,2015,Concrete,8584.69119386254,552.3898844258761,Paris,France,48.885031174898245,2.2623824988604566
41757,Healthcare,29,1997,Concrete,29514.886941968925,706.8248902452026,Lisbon,Portugal,38.78948273504276,-9.080420004237782
12534,Healthcare,8,1993,Timber,3322.764013280642,265.1000489293635,Oslo,Norway,59.96890676973563,10.824196033041215
10268,Education,24,2005,Steel,6578.145163092984,640.645224298109,Dublin,Ireland,53.329627350570405,-6.266946612187399
41774,Office,9,2003,Steel,23357.813716768615,559.1471661025665,Oslo,Norway,59.802815964543015,10.65965272122664
14986,Healthcare,35,2012,Timber,5840.173144455579,389.7086043277445,Stockholm,Sweden,59.33021540510039,18.174487902663135
31535,Office,12,2013,Steel,17557.24113430491,556.7541187348949,Stockholm,Sweden,59.33376825053272,18.09977670698525
11965,Healthcare,27,2014,Steel,9604.941777276945,802.7531782095231,Berlin,Germany,52.55215700972338,13.468383159270848
46453,Education,39,2006,Steel,36065.58755897151,776.3887705631823,Lisbon,Portugal,38.70254191267441,-9.178421714601338
42523,Education,32,1983,Concrete,24067.951555155527,565.9984374375168,Stockholm,Sweden,59.282076584607125,18.126665341562912
17198,Healthcare,22,2007,Concrete,11844.489339621789,688.7131840691818,Dublin,Ireland,53.31054942598303,-6.208693085903418
4627,Healthcare,20,2009,Concrete,3077.8488250413707,665.1931759328659,Lisbon,Portugal,38.71220879547007,-9.128740432384605
24776,Residential,1,2006,Concrete,10146.945250299672,409.54735430657377,Dublin,Ireland,53.3304781258158,-6.267068829371412
30320,Education,37,2012,Timber,10556.426483136296,348.1671003672921,Oslo,Norway,59.9885819407825,10.696960879606227
4304,Healthcare,12,2018,Concrete,2745.8741845698596,637.9819202067517,Madrid,Spain,40.35696809887549,-3.792622610529093
29673,Office,2,2007,Concrete,12374.847724556934,417.04066742685046,London,United Kingdom,51.59030540341041,-0.02350618391166326
39559,Office,6,2011,Timber,8593.389425032825,217.2296929910469,Oslo,Norway,59.84752750879848,10.818464904583559
41772,Healthcare,34,1985,Concrete,31300.731759351816,749.3232729903241,London,United Kingdom,51.44521526318963,-0.14426085628149693
16708,Healthcare,3,1999,Mixed,7577.990893331092,453.554638097384,Berlin,Germany,52.542229906487606,13.542850313841914
3911,Healthcare,7,2020,Steel,2689.2783460960513,687.6191117606882,Stockholm,Sweden,59.387345997747346,17.941256283243796
9120,Healthcare,25,2002,Timber,3589.825714887489,393.6212406674878,Berlin,Germany,52.44571000435946,13.352486478128782
42976,Healthcare,2,1980,Mixed,20293.792880341294,472.2122319513518,Madrid,Spain,40.48008361143267,-3.6733797085453466
8400,Office,35,1998,Mixed,4715.755127454186,561.3994199350221,Rome,Italy,41.977417284853026,12.555975109171525
30299,Healthcare,11,1987,Mixed,15899.081114415289,524.7394671248321,Rome,Italy,41.91613732428729,12.474456553312349
17482,Office,25,2008,Concrete,9370.228330811282,535.9929259130124,Paris,France,48.897122750717244,2.334527242895874
47760,Office,36,2012,Mixed,23982.6077403978,502.14840327466084,Madrid,Spain,40.33576454184426,-3.726706243083428
47214,Healthcare,3,1996,Mixed,20962.252722054374,443.98383365218734,Berlin,Germany,52.52726652363718,13.375138545581676
15373,Residential,38,2024,Timber,6134.002945262595,399.0114450831064,Paris,France,48.87001568153893,2.3935310086091697
42919,Education,33,1984,Mixed,23086.66950049558,537.912567871935,Berlin,Germany,52.514400839841834,13.530566204291892
9208,Healthcare,28,2009,Steel,7288.08773347501,791.4951926015432,Amsterdam,Netherlands,52.33701587002554,4.8030913233057735
4420,Healthcare,31,2014,Mixed,2867.6285773316868,648.784746002644,Madrid,Spain,40.338182206230066,-3.7463050286219683
27641,Education,25,2021,Timber,9010.883120791774,325.997001584305,Berlin,Germany,52.514012234017876,13.329152948131231
5014,Healthcare,22,2002,Concrete,3203.7434064969543,638.9595944349729,Lisbon,Portugal,38.78773730719279,-9.051846276449158
41328,Office,39,2008,Concrete,28305.86084053647,684.9075890567283,Berlin,Germany,52.45124138871889,13.483454113259704
23009,Healthcare,7,2015,Steel,15164.681135248746,659.0760630730907,Oslo,Norway,59.94039337545154,10.838737800830831
23386,Healthcare,23,1994,Mixed,13255.215724211517,566.8013223386436,Stockholm,Sweden,59.33440522705904,17.99844580024242
23677,Residential,22,2021,Concrete,12737.414770182806,537.965737643401,Madrid,Spain,40.40444865201096,-3.646001289380278
49747,Healthcare,5,2018,Mixed,23917.465972135895,480.7820767510783,Rome,Italy,41.882270781011336,12.539902442153439
8987,Healthcare,16,1992,Concrete,5734.365684479258,638.0734043039121,Berlin,Germany,52.55903723895374,13.381249675378623
38945,Healthcare,26,2016,Concrete,29613.80367734075,760.4006593231672,Stockholm,Sweden,59.28566289498802,18.106549970229608
2081,Office,1,2013,Mixed,746.028288936994,358.4950931941346,Dublin,Ireland,53.36601973767177,-6.244013220610811
14500,Healthcare,39,1984,Concrete,11739.346249954657,809.6100862037695,Berlin,Germany,52.44954619790023,13.406791803595379
8253,Office,29,1993,Mixed,3714.2978206559474,450.0542615601536,London,United Kingdom,51.49342399281739,0.185657370035056
30899,Office,16,2005,Concrete,16349.009526074911,529.1112827623842,Stockholm,Sweden,59.269260864217884,18.039402143881883
27646,Office,10,1984,Mixed,10052.757972332636,363.6243207817636,Lisbon,Portugal,38.76258599157142,-9.099372748283981
42975,Office,5,2024,Mixed,16489.027784224243,383.68883732924354,Stockholm,Sweden,59.38885031942503,18.1601596800665
1851,Healthcare,24,1991,Concrete,1284.6617675176335,694.0366113007204,London,United Kingdom,51.53747586714746,-0.11806824747884559
39155,Office,3,1980,Steel,22792.821645356362,582.1177792199301,Paris,France,48.807792626462046,2.385476165301368
28472,Education,26,1987,Steel,20696.383420133436,726.9030422918458,Lisbon,Portugal,38.734062456946425,-9.14786109435282
4267,Education,11,2008,Mixed,1809.3818996568057,424.04075454811476,Madrid,Spain,40.49351611030405,-3.6904056233503826
