GFA_sqm,Building_Type,Num_Floors,Year_Built,Structure_Type,Actual_Scope3_tCO2e,Intensity_kgCO2e_m2
16795,Education,29,1994,Timber,5763.706672722776,343.17991501773
7265,Office,19,2002,Timber,1981.5918760072611,272.7586890581227
45131,Office,24,1982,Concrete,23442.436850930215,519.4309200090894
3433,Healthcare,21,2012,Mixed,1916.2749387552244,558.1925251253202
28480,Office,27,2021,Mixed,13238.587120257453,464.83803090791616
1189,Healthcare,3,2016,Timber,288.25924904622474,242.43839280590814
15502,Office,18,1983,Steel,10845.213155420395,699.6009002335437
44001,Residential,9,2005,Steel,24771.523047322826,562.9763652490358
24483,Healthcare,7,2023,Steel,18332.39458777473,748.7805656077575
15541,Education,17,2015,Concrete,8584.69119386254,552.3898844258761
2021,Residential,6,2021,Mixed,719.5749049508989,356.0489386199401
7873,Education,34,1989,Concrete,5297.786571048924,672.9056993584305
12534,Education,8,1993,Timber,2768.970011067202,220.91670744113625
25276,Residential,16,2024,Concrete,13502.625383856237,534.2073660332425
13185,Healthcare,25,2024,Steel,10244.69631997875,776.9963079240614
49984,Office,7,1988,Mixed,18839.26335094555,376.9058768995189
49190,Healthcare,11,1996,Mixed,25001.284644324995,508.259496733584
13666,Office,5,2021,Timber,2886.1793638508925,211.1941580455797
23662,Healthcare,9,1987,Mixed,10836.465619273209,457.9691327560312
36222,Healthcare,24,2016,Timber,13278.023169577149,366.57344071495635
25538,Residential,35,1980,Timber,8376.239047546836,327.9911914616194
28266,Residential,1,1984,Concrete,12181.928826487783,430.97462769715503
26446,Residential,27,1988,Timber,8209.766235605142,310.43508415658863
24419,Residential,13,2011,Timber,5953.184708514315,243.79314093592347
46151,Office,4,2009,Steel,24987.042766089267,541.4193141229717
2678,Office,29,2015,Steel,1703.7441555944897,636.2002074662023
28890,Education,22,2007,Concrete,16580.769906465554,573.9276533909849
45020,Residential,6,2007,Mixed,16144.238324746138,358.60147322847934
49925,Healthcare,11,2007,Steel,34926.237170453285,699.5741045659147
31080,Office,27,1992,Steel,20458.566405986563,658.25503236765
22959,Residential,27,1988,Concrete,12684.540166809908,552.4866138250754
14545,Education,24,1994,Timber,4209.2091987745125,289.3921759212453
4304,Healthcare,12,2018,Concrete,2745.8741845698596,637.9819202067517
21080,Office,17,1981,Concrete,11077.13864576007,525.4809604250507
25548,Education,32,2012,Steel,17194.258459951896,673.0177884747102
22556,Residential,26,2011,Concrete,12407.568649688756,550.0784114953341
33970,Healthcare,17,2017,Mixed,17627.012150442573,518.8993862361665
1197,Residential,22,1990,Timber,318.68545757579733,266.2368066631557
28848,Office,6,1995,Steel,17931.040436946878,621.5696213583915
48011,Healthcare,19,2005,Timber,16824.354011930114,350.4270690452212
3911,Healthcare,7,2020,Steel,2689.2783460960513,687.6191117606882
36153,Education,1,1990,Mixed,13438.082553482725,371.7003444660948
48254,Residential,31,2009,Concrete,27780.355551755823,575.7109369535339
32065,Healthcare,2,1980,Mixed,15141.485217520096,472.2122319513518
30855,Office,9,2020,Timber,7220.566837971444,234.01610234877472
2154,Healthcare,20,2003,Concrete,1501.2164542026067,696.9435720532064
30299,Healthcare,11,1987,Mixed,15899.081114415289,524.7394671248321
49354,Healthcare,25,2014,Steel,36019.5351242817,729.8199765830874
22357,Healthcare,18,1981,Concrete,14337.896645990762,641.3157689310177
47760,Office,36,2012,Mixed,23982.6077403978,502.14840327466084
22295,Office,20,1987,Timber,6518.4479142272685,292.37263575811926
45064,Healthcare,12,2001,Timber,12330.709136273781,273.6266007516816
15373,Residential,38,2024,Timber,6134.002945262595,399.0114450831064
31746,Education,34,2000,Concrete,20253.719965046766,637.9928168917901
42919,Education,33,1984,Mixed,23086.66950049558,537.912567871935
38410,Education,17,2023,Mixed,16607.914484068115,432.3851727172121
37212,Residential,6,2014,Mixed,12770.217042684688,343.1747028561939
4420,Healthcare,31,2014,Mixed,2867.6285773316868,648.784746002644
11492,Education,21,2011,Timber,3123.5608441567556,271.80306684273893
27641,Education,25,2021,Timber,9010.883120791774,325.997001584305
35663,Education,24,2011,Timber,11747.507427376102,329.40323100625585
17538,Residential,2,2005,Steel,10506.156736699562,599.0510170315636
13533,Office,39,2008,Concrete,9268.854402704705,684.9075890567283
30592,Education,24,1992,Mixed,14410.856746599662,471.06618549292824
46091,Office,20,1980,Mixed,21578.746980571632,468.1770189531933
11893,Healthcare,12,2002,Timber,3339.953744011019,280.8335780720608
11966,Residential,22,2004,Concrete,6758.111998278017,564.7761990872486
23677,Office,22,2021,Concrete,12737.414770182806,537.965737643401
3491,Education,37,2012,Mixed,1968.5375818437958,563.8893101815513
49747,Healthcare,5,2018,Mixed,23917.465972135895,480.7820767510783
33093,Healthcare,35,2019,Mixed,19317.241976544112,583.7259232026142
18019,Residential,30,1998,Steel,12358.059535238726,685.8349262022713
29251,Education,26,2016,Concrete,18535.399738218304,633.6672161026394
2150,Education,9,1991,Steel,1166.2138314108352,542.4250378655048
17896,Residential,34,2011,Concrete,10194.282593512555,569.6402879700802
46543,Office,1,1995,Steel,27060.4054175086,581.4065577532303
17964,Education,22,2008,Timber,4738.320006035462,263.76753540611566
2679,Residential,37,2001,Steel,1906.7951571885865,711.7563110073111
45078,Healthcare,30,1984,Mixed,24434.950577804597,542.05933221981
36247,Residential,21,2018,Mixed,15414.448884255176,425.2613701618114
38220,Residential,23,1989,Concrete,22177.750564986232,580.2655825480438
41158,Residential,10,1998,Concrete,20583.279954218426,500.10398839152595
10540,Healthcare,4,1995,Mixed,5095.22123507185,483.41757448499527
30168,Residential,28,2011,Timber,10234.818452606632,339.2607548596736
7833,Healthcare,35,2012,Steel,7238.8632430489215,924.1495267520645
39155,Education,3,1980,Steel,22792.821645356362,582.1177792199301
25107,Education,29,1992,Mixed,11435.661594777723,455.47702213636524
32996,Residential,35,2002,Steel,24667.142491168335,747.5797821302077
16305,Office,26,2013,Timber,4834.024810366178,296.4749960359508
18209,Healthcare,11,2008,Mixed,9265.629719479946,508.8489054577377
24548,Office,36,1989,Steel,18818.24527479885,766.5897537395654
49816,Healthcare,35,2015,Concrete,35494.02291512242,712.5024673824157
24190,Healthcare,32,2016,Mixed,14594.041539917487,603.3088689507023
44286,Office,25,2014,Steel,29162.03869618246,658.4933996337999
15397,Office,20,2004,Concrete,8125.610766011184,527.7398691960242
48280,Education,36,1991,Steel,38101.88890594222,789.1857685572127
5360,Healthcare,7,2007,Concrete,3229.807450449941,602.5760168749889
6486,Healthcare,16,1984,Timber,2065.0925471526266,318.39231377622986
12130,Healthcare,21,2015,Steel,10090.173417422022,831.8362256737034
2062,Office,39,1993,Timber,704.5654740708521,341.69033660080123
39102,Education,29,2022,Timber,11734.876040962898,300.1093560677944
49136,Healthcare,10,2023,Steel,32555.629989211597,662.5616653616818
22677,Education,13,2019,Concrete,11437.260942884206,504.35511500128797
20065,Education,2,1984,Steel,10303.414098109371,513.5018239775416
29295,Education,1,2001,Mixed,9852.044685173072,336.30464875142764
38080,Education,4,2015,Concrete,18642.78875321398,489.56903238482084
7588,Education,39,2006,Concrete,5292.020802558752,697.4197156772209
16485,Education,3,2024,Steel,9137.434973266856,554.2878358063001
31355,Residential,28,1987,Steel,23031.660624666936,734.5450685589838
40298,Education,13,2007,Concrete,20339.325760106556,504.7229579658186
29016,Healthcare,25,2012,Concrete,19766.115427605626,681.2143447617048
37395,Residential,32,2024,Steel,25608.898763528916,684.8214671354169
28509,Healthcare,21,1990,Mixed,14239.06479603333,499.45858486910555
31354,Education,20,1997,Timber,9006.32123440521,287.2463237355747
43356,Residential,3,1995,Timber,7685.822557377285,177.27240883331686
35121,Healthcare,32,1995,Mixed,21040.621210883335,599.0894681496351
1667,Healthcare,8,2007,Mixed,774.4918185608714,464.60217070238235
41251,Residential,28,2007,Steel,31163.747909123114,755.4664834579311
39810,Healthcare,17,1988,Steel,29796.507268627276,748.4679042609213
36547,Office,29,1992,Concrete,19902.32103751207,544.5678451723005
6713,Residential,5,2004,Concrete,2922.579063651216,435.3610999033541
24793,Residential,5,2012,Concrete,12508.132129357029,504.50256642427416
47318,Healthcare,11,2000,Concrete,27991.624018752882,591.5639718236798
7970,Residential,27,1992,Steel,5425.266374248531,680.710962891911
9702,Education,1,2000,Mixed,3151.699485851311,324.8504932850248
19384,Healthcare,5,2010,Steel,14703.459566078003,758.5358835161991
24574,Office,37,2016,Concrete,16695.703842270355,679.4052186160313
49212,Office,14,1988,Concrete,24318.110474658486,494.1500137092271
18100,Office,4,1980,Steel,10847.292009324176,599.297901067634
37187,Residential,31,1987,Timber,12885.124592442135,346.49540410471764
44125,Residential,3,1991,Steel,25189.438986484434,570.8654727815169
25285,Office,17,2002,Timber,7082.010363853091,280.08741798904845
38441,Residential,11,2018,Concrete,19867.98617002993,516.8436349218265
7949,Residential,34,1997,Concrete,4982.410429765467,626.797135459236
11209,Education,38,2012,Mixed,6549.765036439208,584.3308980675536
5854,Residential,17,1984,Steel,3454.9039559845414,590.1783320779879
20856,Healthcare,10,1996,Mixed,9142.408085191537,438.35865387377913
28169,Office,6,1981,Steel,15387.574609451318,546.2591717651077
13015,Education,11,2002,Timber,3110.3768508396274,238.98400697961026
12637,Education,16,1987,Mixed,5088.183001883472,402.64168725832644
